tag,collection_year,collection_month,collection_date,broodstock,set_date,distribution_date,total_live,clumps,shell_height_mm,organization,Site,,,,,,,,,,,,,,,shell_height_mm
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,31,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,24,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,18,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,25,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,21,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,30,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,36,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,4,21,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,5,37,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,5,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,6,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,8,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,9,33,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,4,26,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,4,19,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,4,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,5,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,5,34,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,6,47,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,8,54,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,6,6/15/19,GK,3/28/17,7/13/18,8,9,37,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,4,27,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,4,25,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,4,22,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,5,38,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,6,41,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,7,7/13/19,GK,3/28/17,7/13/18,6,9,33,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,8,8/17/19,GK,3/28/17,7/13/18,0,,,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,27,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,19,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,1,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,13,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,19,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,35,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,2,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,28,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,24,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,35,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,3,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,21,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,32,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,26,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,4,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,21,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,19,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,19,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,5,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,21,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,19,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,12,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
